order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price
1,1,2023-01-01,11:38:36,109,109,"Korean Beef Bowl",Asian,17.95
2,2,2023-01-01,11:57:40,108,108,"Tofu Pad Thai",Asian,14.50
3,2,2023-01-01,11:57:40,124,124,Spaghetti,Italian,14.50
4,2,2023-01-01,11:57:40,117,117,"Chicken Burrito",Mexican,12.95
5,2,2023-01-01,11:57:40,129,129,"Mushroom Ravioli",Italian,15.50
6,2,2023-01-01,11:57:40,106,106,"French Fries",American,7.00
7,3,2023-01-01,12:12:28,117,117,"Chicken Burrito",Mexican,12.95
8,3,2023-01-01,12:12:28,119,119,"Chicken Torta",Mexican,11.95
9,4,2023-01-01,12:16:31,117,117,"Chicken Burrito",Mexican,12.95
10,5,2023-01-01,12:21:30,117,117,"Chicken Burrito",Mexican,12.95
11,6,2023-01-01,12:29:36,101,101,Hamburger,American,12.95
12,6,2023-01-01,12:29:36,114,114,Potstickers,Asian,9.00
13,7,2023-01-01,12:50:37,123,123,"Chips & Guacamole",Mexican,9.00
14,8,2023-01-01,12:51:37,123,123,"Chips & Guacamole",Mexican,9.00
15,9,2023-01-01,12:52:01,108,108,"Tofu Pad Thai",Asian,14.50
16,9,2023-01-01,12:52:01,126,126,"Fettuccine Alfredo",Italian,14.50
17,9,2023-01-01,12:52:01,110,110,"Pork Ramen",Asian,17.95
18,9,2023-01-01,12:52:01,117,117,"Chicken Burrito",Mexican,12.95
19,9,2023-01-01,12:52:01,117,117,"Chicken Burrito",Mexican,12.95
20,9,2023-01-01,12:52:01,129,129,"Mushroom Ravioli",Italian,15.50
21,9,2023-01-01,12:52:01,122,122,"Chips & Salsa",Mexican,7.00
22,9,2023-01-01,12:52:01,130,130,"Shrimp Scampi",Italian,19.95
23,9,2023-01-01,12:52:01,132,132,"Eggplant Parmesan",Italian,16.95
24,10,2023-01-01,13:00:15,129,129,"Mushroom Ravioli",Italian,15.50
25,10,2023-01-01,13:00:15,105,105,"Mac & Cheese",American,7.00
26,11,2023-01-01,13:02:59,101,101,Hamburger,American,12.95
27,11,2023-01-01,13:02:59,102,102,Cheeseburger,American,13.95
28,11,2023-01-01,13:02:59,102,102,Cheeseburger,American,13.95
29,11,2023-01-01,13:02:59,113,113,Edamame,Asian,5.00
30,12,2023-01-01,13:04:41,102,102,Cheeseburger,American,13.95
31,12,2023-01-01,13:04:41,102,102,Cheeseburger,American,13.95
32,12,2023-01-01,13:04:41,104,104,"Veggie Burger",American,10.50
33,12,2023-01-01,13:04:41,117,117,"Chicken Burrito",Mexican,12.95
34,13,2023-01-01,13:11:55,129,129,"Mushroom Ravioli",Italian,15.50
35,14,2023-01-01,13:14:19,114,114,Potstickers,Asian,9.00
36,15,2023-01-01,13:33:00,107,107,"Orange Chicken",Asian,16.50
37,15,2023-01-01,13:33:00,124,124,Spaghetti,Italian,14.50
38,15,2023-01-01,13:33:00,121,121,"Cheese Quesadillas",Mexican,10.50
39,15,2023-01-01,13:33:00,114,114,Potstickers,Asian,9.00
40,16,2023-01-01,13:34:07,125,125,"Spaghetti & Meatballs",Italian,17.95
41,16,2023-01-01,13:34:07,111,111,"California Roll",Asian,11.95
42,16,2023-01-01,13:34:07,106,106,"French Fries",American,7.00
